review,sentiment_label,sentiment_score,keywords,themes
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",negative,-0.5266620202020202,"['week', 'period make', 'remove service', 'work telecom', 'access banking']",['Transactions']
"this new update(Mar 19,2025) is great in fixing bugs, stability and smooth experience I'll give u that but it came with a big shortcoming which is not allowing to take screenshot. I can't screenshot neither my balance nor the transaction or anything within the app, i understand it's for security reasons but please bring that back, allow us to take screenshot we need that. Thanks.",positive,0.6604242424242425,"['screenshot', 'allow screenshot', 'allow', 'reason bring', 'screenshot balance']","['Transactions', 'Account Access', 'Feature Requests', 'Screenshot/Restrictions', 'Security Concerns']"
"Good job to the CBE team on this mobile app! It's designed in a way that's simple and intuitive to navigate, which is great for everyone. It effectively handles the essential banking tasks I need to perform regularly. It's a practical and reliable tool that makes everyday banking much more convenient. Thank you for this useful application.",positive,0.6956177777777778,"['perform tool', 'banking task', 'thank application', 'app design', 'banking thank']","['Feature Requests', 'Interface Issues']"
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,positive,0.6026125925925927,"['colander', 'access transaction', 'screenshot', 'transaction', 'access']","['Transactions', 'Feature Requests', 'Screenshot/Restrictions']"
as if the update of march 19 i can't take a screenshot in the app. i can just save it as file and that is so annoying. i used to save all screenshot in my gallery in one folder now with the extra steps added i have to save the file go to file and then screenshot it. the solution is to allow the screenshot to be save in to gallery automatically. i wish you give this review attention and resolve the issue shortly.,positive,0.4634533333333333,"['screenshot', 'file', 'save', 'save file', 'gallery']","['Feature Requests', 'Screenshot/Restrictions', 'Transaction History']"
"Old version was very friendly to use. Now we can't see the #Reason The #transaction history (very limited) and now it crash every time it's opened. More over, the last update prevents us from taking #screenshots. Thanks for the developers as they are getting more stupid than ever.",negative,-0.0900878571428571,"['screenshot thank', 'reason transaction', 'update prevent', 'version use', 'open update']","['App Performance', 'Feature Requests', 'Transaction History']"
Taking away the screenshot of the receipt is just silly. Worse is tbe download button putting a copy of the screenshot - which you prevented to be taken - in tbe downloads folder where we cant attach directly from Whatsapp. Millions of people use the screenshot as proof of payment / transfer yet you make that harder for everyone? I have every user contacts the developer or manager who made this awful decision.,negative,-0.60236,"['screenshot', 'download', 'people use', 'screenshot prevent', 'screenshot proof']","['Transactions', 'Feature Requests', 'Interface Issues', 'Screenshot/Restrictions', 'Transaction History']"
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",negative,-0.2517733333333333,"['send', 'return account', 'safaricom telebir', 'money', 'account send']","['Transactions', 'Customer Service']"
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",negative,-0.19644,"['problem stop', 'error transaction', 'transaction account', 'transfer fund', 'work month']","['Transactions', 'App Performance']"
"It's very good in reminding the account numbers you have been used, but Need to show recipient history whenever you want to present it.or it has to have a search on options for a spesfic time you want to look for receipts with out going for account details at bank. if you lost your receipt without downloading it and need to look sometime a while you can't get in simple search on the app.",positive,0.1285333333333333,"['search', 'receipt', 'look', 'want', 'recipient history']","['Transactions', 'Feature Requests', 'Screenshot/Restrictions', 'Transaction History']"
It crashes multiple times everytime you launch it. Fix it. Edit: crash fixed but screenshots has been disabled. I don't know who thought this was a good idea.,positive,0.3352799999999999,"['crash', 'screenshot disable', 'fix', 'fix screenshot', 'launch']",['App Performance']
